Clinic Name,"Map location (latitude,longitude)",LAT,LONG,Address,City Location,Google Rating,Facebook Rating,Average Rating,Contact Information,Email Address,Services Offered,Pricing,Operating Hours,Customer Reviews Google,Customer Reviews Facebook
Tan - Mencias Dental Clinic,"14.662161754621126, 121.11286917124286",14.66216175,121.1128692,"#44 G. Del Pilar St, Marikina, 1809 Metro Manila",Marikina City,5,5,5,9171451074,tanmencias.dentalclinic@gmail.com,#NAME?,,Mon-Sat: 10am-6pm,,"Thank you so much Tan-Mencias Dental Clinic!! This is a great place to go take care of your teeth. 
Very professional examining and providing with solutions by priority. They did a great job and i felt that 
i was in good hands - they explained very well what was going on. The best dental care i have ever
 experienced. Would highly recommend!!


I have been their patient since 2009, the best dentists me and my children had. Awesome and great!


Highly recommended 
#Good quality service 
#Friendly and approachable doctors 
#Worth it
5 stars"
Pasco Dental Clinic,"14.660833180652826, 121.11329832464419",14.66083318,121.1132983,"95 Gen. Molina St. 2f tanci bldg Parang, 
Marikina City, Philippines",Marikina City,5,,5,0933 580 3314,pdclinic95@gmail.com,#NAME?,,Mon-Sat: 10am-5pm,"I recently visited Pasco Dental Clinic for denture services. They took the time to understand
 my needs and concerns, and the denture they provided me with fits perfectly and feels 
incredibly comfortable. I highly recommend Pasco Dental Clinic for anyone in need of 
quality dental care.


Great dentist.",
My Dental Space,"14.638578369093581, 121.09956541580199",14.63857837,121.0995654,"17 Barcelona Tower, Marquinton Residences, 
Sumulong Highway, Santo Niño, Marikina, 
1800 Metro Manila",Marikina City,5,5,5,273696565 / 0917 811 7751,mydentalspace@gmail.com,,,Tuesday&Fiday: 8:30am-6pm,"My Dental Space deserves a 5 Star rating.
First visit I felt that I was in good hands, you immediately know that he’s an expert on what 
he’s doing. I’m grateful that Dr. Mina able to save my front teeth and finally giving me relief 
for almost 2 years of discomfort. I wish I was able to find My Dental Place sooner. I’m so 
grateful and couldn’t be happier with the result.


My family and I have been going to My Dental Space for regular teeth cleaning for years. 
All of them have had braces and the results are astounding!!! My four children, my husband 
and I really like the clinic as it is always clean, fragrant and well-maintained. I love the fresh
 plants and the quaint design of the waiting room😍👍😍 …


Dr. Mina and Mel have been taking care of my teeth for almost 6 years! Their dental
 treatment and services are affordable, very personalized, up-to-date, and of excellent 
quality! Rarely do I get problems with my crowns, root canal and prophylaxis. 
Highly recommended!


Nice to have a very reliable Dentist near our place. After seeing a number of dentists, 
Doc Toto is the only one that was able to truly fix my dental concern.


For me, Doc Toto Mina Jr. is my best dentist so far. The lightness of the hand, quickly pull out the tooth, you will be surprised that in less than 2 minutes your wisdom tooth was pulled out without any pain. And of course the clinic is very neat and cozy😉 …
","My daughters and my nephews loves getting their dental check up at My Dental Space. They will 
relaxed and comfortable in the skillful hands of their friendly dentist.



Doc Toto has been my dentist for me and my family for the past 20 years. Very meticulous and precise 
would describe his treatment. He does not scrimp on materials and is constantly updated on the latest 
techniques, instruments and materials. Because of his light hands, painless shots and engaging personality,
 my children love to visit his clinic.
Oh, by the way, I live in Laguna. It is a very long trip to his clinic but it's worth it.


I live in Arizona but every time I go home to the Philippines  I visit my favorite dentist...Dr. Toto Mina.
 He is my dentist since he was a student at UERM..I was his guinea pig then.😃
My daughter who's now 23 yrs old would rather see Dr. Mina than any dentist in the states. 
We love My Dental Space!!!
5 stars



Dr.Lorenzo Mina has superb workmanship, his hands are light and he works in a meticulous manner that
 you know you can trust. His clinic offers a quiet relaxation as you wait with interiors and music to calm your 
senses, not to mention the cleanliness and sterile materials they handle w utmost care and the friendly smile
 around the clinic, that of Mel's, and of course her precision on your next appointments will tell you that surely you're in the right hands.  And if you're not in a rush, or if the clinic isn't busy, a bonus is the enjoyment of doc's company.  Another plus is doc Van's occassional visit who also takes care of the light mood around the clinic."
"Tadena - Valencerina Ortho - 
Dental Clinic","14.661678567435926, 121.11335866716374",14.66167857,121.1133587,"Unit E, #41 G. Del Pilar St, Marikina, 1809 
Metro Manila",Marikina City,5,,5,289412697,valencerina_dental@yahoo.com,#NAME?,,Mon-Sat: 8am-6pm,,"Highly recommended magagaling ang mga dentist at mababait ang staff... thank you Doc Vangie.


Messaged you on your page to ask about the availability of my preferred Doc and told me she will be available
 today (Monday) 8am to 5pm but upon arriving at your clinic, the front desk said she will come on Friday????
 Still proceeded to do the cleaning with diff Doc but never thought I would experience the worst dental cleaning
 in my entire life. I'm even pregnant and the whole procedure I was so stressed. Never going back to this clinic. 
This is a feedback from my wife.



First time ... Di natapos mabunutan ang anak ko💪 Di nakayanan ng dentist... Wala naman problem at
 ginastusan naman ng Ph900. na xray. Will check by Friday ... Sana merong ok na dentist na kayanin. 
Too bad, akala ko...☹️
Edited.. pulled out and looked for ANOTHER dentist (different clinic) last Friday.
My daughter's tooth was extracted easily (anaesthesia was done superbly)✔️"
Lumieres Dental Clinic,"14.632670036021212, 121.09836559553086",14.63267004,121.0983656,"
2nd Floor Unit A EMH Building 1 Shoe Avenue, 
Sta. Elena, Marikina City, Marikina City, Philippines",Marikina City,,4.9,4.9,09656458068 / 02 7916 4641,amanadmclinics@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,,"Dra. Angel and mga staff are so nice and very helpful. I told them what happened to my tooth and my budget
 and gave me discount for my procedure. I highly recommended them. For sure I’ll be coming back. For me
 I’ll give them 5 Stars ⭐️⭐️⭐️⭐️


BIG Shout out  to LUMIERE'S DENTAL CLINIC sa npaka gandang service and very accommodating 
Staff specially Po s DENTAL DOCTOR nila. Thanks so much po😍😍😍


Hello! I just want to share na super bait po ng staff nila lalo na ng dentist. ❤. Hindi talaga mag sisi hehe.
 Highly recommended talaga. ❤👌


Yes.. I would highly recommend this Clinic. sobrang na-satisfied ako.. Thanks po sa Dentist na nagattend 
sakin kanina.. just forgot to get even ur last name po..hehe
 pero sobrang Thanks Doc!.. Very Happy and Satisfied Client here... Surely ill come back.."
Playground Dental Clinic,"14.659824656053047, 121.1111543668902",14.65982466,121.1111544,"#3 E. Rodriguez St. Parang Marikina City., 
Marikina City, Philippines",Marikina City,5,5,5,"✅️ 0921 3989540
✅️ 0927 5454788
✅️ 7956 5594",leahtacs@ymail.com,#NAME?,,Mon-Sun: 9am-5pm,,"Salamat po DOC Lea Tacuycuy sa pag tangal ng 3rd molar ko  parang walang ng yari back to normal 
na pakitamdam ko."
Dental Ave PH,"14.633331766995134, 121.09559546587039",14.63333177,121.0955955,"6 W. Paz St. corner M. Cruz St. Barangay 
Sta. Elena, Marikina City, Philippines",Marikina City,5,,5,0928 524 9182,dentalaveph@gmail.com,#NAME?,,Mon-Sun 10am-7pm,"Great experience with Doc Lili and Ms. Rubi! I first met them last 2023 for dental prophylaxis,
 which was shortly followed by my braces. I’ve been their patient for almost a year now,
 and they are still consistent with their patient-centered approach. The assistants are ready 
to answer inquiries from new patients, and Doc Lili always takes her time to address her 
patients’ questions and concerns. Doc Lili is now our go-to dentist ☺️


Dra. Aleli is very professional, her hands are gentle and she will discuss thoroughly what
 she is doing to you. After the dental cleaning and pasta filling, I felt very great. Also, her
 tools and equipment are very clean and up to date. Will definitely go back to her clinic.
Best dental cleaning ever in my life …


Dr. Lili Alonday's hands are super light and precise. She works efficiently and ensures that 
the patient is as comfortable as he/she can be. She won't let you leave the clinic without
 getting advice on aftercare, which I always appreciate. The clinic being clean and beautifully
 decorated is a definite plus! I had a really good experience there and will definitely go back
 for all my dental needs. I even told my family to do the same!


Dr. Lili is awesome! To be honest, I'm scared of going to any dental clinic. But to my surprise,
 Dr. Lili removed the stigma of a dental clinic being a scary place. She's very knowledgeable 
and her clinic is very cute and comfortable. I highly suggest going to her clinic if you want to
 have the best dental experience!","Malinis at malamig ang clinic. Super accommodating ang nga staff at c Doc Sison napakabait nya, 
well explained tlga lhat ng dpat mong malaman. ⭐️⭐️⭐️⭐️⭐️"
Dental Esthetix - Marikina,"14.635407920732424, 121.09739791015589",14.63540792,121.0973979,"182 Shoe Ave, Captain Venciong St, Marikina, 
1800 Metro Manila",Marikina City,2.3,,2.3,𝟎𝟗𝟏𝟕-𝟑𝟏𝟎𝟒𝟗𝟒𝟏 / 𝟕𝟎𝟎𝟔 𝟗𝟕𝟓𝟔 ,dentalesthetix1@gmail.com,"🔹 Dental Braces
🔹 Veneers
🔹 Flexite
🔹 Oral Prophylaxis with Fluoride
🔹 Bleaching
🔹 Restoration (Lightcured Filling)
🔹 Tooth Extraction Odontectomy
🔹 Root Canal Therapy
🔹 Fixed Bridge
🔹 E Max
🔹 Zirconia
🔹 Complete Dentures",,Mon-Sat: 9am-5pm,,
Manalo Dental Clinic,"14.661482737878254, 121.11267577124285",14.66148274,121.1126758,"109 Gen. B. G. Molina St, Marikina, 
1800 Metro Manila, Marikina City, Philippines",Marikina City,5,4.8,4.9,"09183134975
463-1772
576-4764",randyvicente.03@gmail.com,#NAME?,,"Mon-Fri: 9am-6pm
Sat: 9am-5pm
Sun: 9am-4pm","Best dental clinic in Marikina City. The dentist was so friendly and answered all my 
questions! I recommend!


Quality Dental Care.","The best Dentist in Marikina City, Dra Manalo was graduated in one of the top school in Manila, 
Centro Escolar University is well known for Dentistry. She’s of one of a million people that you could 
proud to say that passion is in her blood. She don’t stop learning new things in her field of expertise.
Always cares for her patient(s) needs and she will ensure that you will have a the most beautiful smile after...
We highly recommend her always with our friends and relatives. 
Her clinic is very accessible for public and private transportation, for private car - parking is not a problem.
 Very clean and hygienic clinic. 
Please visit Dra Manalo - for any consultation.


awesome services!!! i highly recommend
DR.MARY ANNE MANALO  to anyone & everyone... try to visit her clinic...5 big stars!!!!!


Thankful for Dra May Manalo for her top notch care.., though nervous about having my first root canal but 
after the procedure i know there was nothing to fear if you let Dra Manalo handle any of your dental problems.
 Excellent work Dra!!! Thanks so much☺️👍


I highly reccomend Manalo Dental Clinic. Dra. May is very professional. Khit yung anak ko hindi natatakot
 na bumalik sa kanya kc magaan ang kamay ni doktora. One time binunutan sya ng ngipin pinakuhanan pa 
nya ng picture habang nililinisan at binubunot yung ngipin nya kasi d nya naramdaman ung sakit. 
Alam nya kung paano ihandle ung situation lalo n sa mga kids. She really takes care of her patients.
 Hindi nya tatapusin ung session until masatisfy ung patient nya.


Whatever case it may be, Dr. May can handle it professionally. She’s very caring with her patients. 
“With Dr. May, you know you’re in good hands.”"
Genial Smiles Dental Clinic,"14.651395859059257, 121.10563054097298",14.65139586,121.1056305,"2nd flr. MDR Bldg. Candazo Street, cor L.
 De Guzman St, Marikina, 1807 Metro Manila",Marikina City,,5,5,09759291435 / 09854250202 ,genialsmiledcc@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,,"Sobrang approachable ng assistant at ni doc tapos ang gaan ng kamay ni Doc.. wisdom tooth surgery
 pinagawa ko pero hindi ramdam na sinusurgery na pala ako.. highly recommended this clinic 🙂


Just visited Genial Smiles Dental Clinic today and had an exceptional experience from start to finish. 
The clinic's ambiance is warm and welcoming. The staff at the reception were incredibly friendly and efficient,
 making the check-in process smooth and hassle-free. ☺️
Dra. Norhi is a true professional with a gentle touch. She took the time to explain every step of the procedure, 
ensuring I was comfortable and informed throughout. What stood out the most was the personalized care and
 attention I received. She made sure to address all my concerns and questions with patience and expertise. 👌
I highly recommend Genial Smiles Dental Clinic anyone looking for top-notch dental care. Their commitment 
to patient satisfaction and high standards of care make them a standout choice. I will definitely be returning for
 all my future dental needs. 🫰


#FinallyFoundMyLoved! 😁
Highly recommended!
 I have LOTS of anxiety about going to the dentist. After this visit, I have become an advocate. 
Dr. Norilhyn Mae Capuno and to all #GenialSmilesStaff were amazing.
 They made me feel comfortable and I believe the treatment plan is actionable and has my best interest in mind.
No doubt at all they will surely give you an assurances of 100% safe and secure👌
#SurelyGreatSmilesYouCanHave😁
#GenialSmileFullOfConfidence.💪"
M. Bejosano Dental Clinic,"14.655409803337077, 121.10482309655065",14.6554098,121.1048231,"M433+8W4, Marikina, 1800 Metro Manila",Marikina City,5,,5,0927 722 5271,ikabejosano.dmd@gmail.com,#NAME?,,Mon-Sun: 10am-6pm,,"Sobrang bait ni Dra. Very accomodating. inexplain sakin ang dapat gawin. thank you dra.


Super galing at bait ni doc milcka 😍 napaka bait po sa mga kids ❤ and yung momy ni doc ang bait kausap ❤"
Casa of Smiles Dental Clinic ,"14.673760472427581, 121.108513815802",14.67376047,121.1085138,"Unit H 2nd Floor 838 NPU Commercial Building
 JP Rizal Street, Nangka , Marikina City, Philippines",Marikina City,,5,5,"0907 042 2554 
 0926 310 9085",casasmilesdental@gmail.com,"- Oral Prophylaxis (Cleaning) 
- Tooth Extraction (Bunot) 
- Light Cured Filling (Pasta) 
- Fluoride Treatment 
- Braces (Metal & Ceramics) 
- Retainers (Hawleys / Wrap Around / Clear) 
- Dentures (Removable & Non Removable) 
- Teeth Whitening 
- Veneers 
- Odontectomy (Impacted Tooth Surgery)",,"Wed,Thurs,Fri,Sat and Sun
10am-4pm ",,"My overall experience here at CASA OF SMILES was remarkable. Dra. Catherine is very professional,
 super light handed and approachable as well as the staff, Ate Angelica.This clinic provided excellent
 service and had a kind, welcoming atmosphere. Anyone looking for high-quality dental care in Marikina
 should definitely check out this clinic! ❤️


I highly recommend Dra. Ara for your dental needs. She's very experienced, and friendly and puts you at ease.
 She goes above and beyond to make sure you have a clear understanding for everything. And her staff
 is very friendly and accommodating too. Thank you so much Casa of Smiles Dental Clinic 💕


Very friendly and accommodating staff and Dra. She thoroughly explained and recommended treatment 
for my teeth. Thank you so Much Casa of Smiles!😊 Highly appreciate, that they could reply very fast too🩵


The Casa of Smiles Dental Clinic has provided me an excellent service. I availed teeth whitening and they have provided care and patiently explained the procedure and after care options. I highly recommended this clinic. Thanks Casa of Smiles!!!"
LIM Dental Center,"14.653664017472925, 121.11523514212954",14.65366402,121.1152351,"G/F West Drive Commercial Center West Drive,
 corner Champagnat St, Marikina, 1800",Marikina City,5,,5,0917-8561234,limdentalcenter@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,"Doc was nice and gentle during my tooth extraction. Also offered a recommendation
 for my overall teeth :)


","Thank you, Drs. Kenneth and Jennie Lim, for the kid-friendly treatment. Les, Liam, Keane, and I are super
 thankful for our cleaner and brighter teeth. The boys are not afraid anymore to go to the dentist.
 We felt safe in the clinic. Stay safe and healthy always! 🙏


I thought my girls will not go for a treatment from bad experiences at other clinics but 
Dr. Jennie was really patient and comforting. She treated both my girls and they both walked out smiling."
Kam Dental Clinic - Marikina ,"14.639913425973628, 121.1280323804773",14.63991343,121.1280324,"85 Panorama Street, Palazzo Bldg, Marikina, 
1809 Metro Manila",Marikina City,5,,5,0945 217 2735,kamdentalmarikina@gmail.com,#NAME?,,"Friday
12:00 PM - 5:00 PM
Saturday
11:00 AM - 4:00 PM
Sunday
10:00 AM - 3:00 PM",Friendly staff. Excellent service!,
Tooth Booth Dental Center,"14.645121284220652, 121.11851835723888",14.64512128,121.1185184,"161 Gen. Ordoñez Street, Marikina City, 
Marikina City, Philippines",Marikina City,5,,5,0925 792 8232,"
toothboothdentalcenter@gmail.com",#NAME?,,Mon-Sun: 9am-6pm,,
